DDD,3D Systems Corporation,,Technology,Computer Software: Prepackaged Software
MMM,3M Company,,Health Care,Medical/Dental Instruments
WBAI,500.com Limited,2013,Consumer Services,Services-Misc. Amusement & Recreation
WUBA,58.com Inc.,2013,Technology,"Computer Software: Programming, Data Processing"
EGHT,8x8 Inc,,Public Utilities,Telecommunications Equipment
AHC,A.H. Belo Corporation,,Consumer Services,Newspapers/Magazines
ATEN,"A10 Networks, Inc.",2014,Technology,Computer Communications Equipment
AAC,"AAC Holdings, Inc.",2014,Health Care,Medical Specialities
AIR,AAR Corp.,,Capital Goods,Aerospace
AAN,"Aaron&#39;s,  Inc.",,Technology,Diversified Commercial Services
ABB,ABB Ltd,,Consumer Durables,Electrical Products
ABT,Abbott Laboratories,,Health Care,Major Pharmaceuticals
ABBV,AbbVie Inc.,2012,Health Care,Major Pharmaceuticals
ANF,Abercrombie & Fitch Company,,Consumer Services,Clothing/Shoe/Accessory Stores
GCH,"Aberdeen Greater China Fund, Inc.",1992,,
ACP,Aberdeen Income Credit Strategies Fund,2011,,
JEQ,"Aberdeen Japan Equity Fund, Inc. ",1992,,
SGF,"Aberdeen Singapore Fund, Inc.",1990,,
ABM,ABM Industries Incorporated,,Finance,Diversified Commercial Services
AKR,Acadia Realty Trust,,Consumer Services,Real Estate Investment Trusts
ACN,Accenture plc,2001,Miscellaneous,Business Services
ACCO,Acco Brands Corporation,,Consumer Durables,Publishing
ATV,"Acorn International, Inc.",2007,Consumer Services,Other Specialty Stores
ATU,Actuant Corporation,,Technology,Industrial Machinery/Components
AYI,Acuity Brands Inc,,Consumer Durables,Building Products
GOLF,Acushnet Holdings Corp.,2016,Consumer Non-Durables,Recreational Products/Toys
ADX,"Adams Diversified Equity Fund, Inc.",,,
PEO,"Adams Natural Resources Fund, Inc.",,,
AGRO,Adecoagro S.A.,2011,Consumer Non-Durables,Farming/Seeds/Milling
ADNT,Adient plc,2016,Capital Goods,Auto Parts:O.E.M.
ADT,ADT Inc.,2018,Consumer Services,Diversified Commercial Services
ATGE,Adtalem Global Education Inc.,,Consumer Services,Other Consumer Services
AAP,Advance Auto Parts Inc,,Consumer Services,Other Specialty Stores
ADSW,"Advanced Disposal Services, Inc.",2016,Public Utilities,Environmental Services
WMS,"Advanced Drainage Systems, Inc.",2014,Capital Goods,Containers/Packaging
ASX,"Advanced Semiconductor Engineering, Inc.",,Technology,Semiconductors
ASIX,AdvanSix Inc.,2016,Basic Industries,Major Chemicals
AAV,Advantage Oil & Gas Ltd,,Energy,Oil & Gas Production
AVK,Advent Claymore Convertible Securities and Income Fund,2003,,
AGC,Advent Claymore Convertible Securities and Income Fund II,2007,,
LCM,Advent/Claymore Enhanced Growth & Income Fund,2005,,
ACM,AECOM,2007,Consumer Services,Military/Government/Technical
ANW,Aegean Marine Petroleum Network Inc.,2006,Energy,Oil Refining/Marketing
AEB,Aegon NV,,Finance,Life Insurance
AED,Aegon NV,,Finance,Life Insurance
AEG,Aegon NV,,Finance,Life Insurance
AEH,Aegon NV,,Finance,Life Insurance
AEK,Aegon NV,,Finance,Life Insurance
AER,Aercap Holdings N.V.,2006,Technology,Diversified Commercial Services
HIVE,"Aerohive Networks, Inc.",2014,Technology,EDP Services
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",,Capital Goods,Military/Government/Technical
AET,Aetna Inc.,,Health Care,Medical Specialities
AMG,"Affiliated Managers Group, Inc.",,Finance,Investment Managers
AFL,Aflac Incorporated,,Finance,Accident &Health Insurance
MITT,"AG Mortgage Investment Trust, Inc.",2011,,
MITT^A,"AG Mortgage Investment Trust, Inc.",,,
MITT^B,"AG Mortgage Investment Trust, Inc.",,,
AGCO,AGCO Corporation,,Capital Goods,Industrial Machinery/Components
A,"Agilent Technologies, Inc.",1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AEM,Agnico Eagle Mines Limited,,Basic Industries,Precious Metals
ADC,Agree Realty Corporation,,Consumer Services,Real Estate Investment Trusts
AL,Air Lease Corporation,2011,Technology,Diversified Commercial Services
APD,"Air Products and Chemicals, Inc.",,Basic Industries,Major Chemicals
AYR,Aircastle Limited,2006,Technology,Diversified Commercial Services
AKS,AK Steel Holding Corporation,,Basic Industries,Steel/Iron Ore
ALP^Q,Alabama Power Company,,,
ALG,"Alamo Group, Inc.",,Capital Goods,Industrial Machinery/Components
AGI,Alamos Gold Inc.,2015,Basic Industries,Precious Metals
ALK,"Alaska Air Group, Inc.",,Transportation,Air Freight/Delivery Services
AIN,Albany International Corporation,,Basic Industries,Textiles
ALB,Albemarle Corporation,,Basic Industries,Major Chemicals
AA,Alcoa Corporation,2016,Basic Industries,Aluminum
ALEX,"Alexander & Baldwin Holdings, Inc.",,Consumer Services,Real Estate Investment Trusts
ALX,"Alexander&#39;s, Inc.",,Consumer Services,Real Estate Investment Trusts
ARE,"Alexandria Real Estate Equities, Inc.",,Consumer Services,Real Estate Investment Trusts
ARE^D,"Alexandria Real Estate Equities, Inc.",,,
AQN,Algonquin Power & Utilities Corp.,2016,Public Utilities,Electric Utilities: Central
BABA,Alibaba Group Holding Limited,2014,Miscellaneous,Business Services
Y,Alleghany Corporation,,Finance,Property-Casualty Insurers
ATI,Allegheny Technologies Incorporated,,Basic Industries,Steel/Iron Ore
ALLE,Allegion plc,2013,Consumer Services,Diversified Commercial Services
AGN,Allergan plc.,2013,Health Care,Major Pharmaceuticals
ALE,"Allete, Inc.",,Public Utilities,Power Generation
AKP,Alliance California Municipal Income Fund Inc,2002,,
ADS,Alliance Data Systems Corporation,2001,Miscellaneous,Business Services
AFB,Alliance National Municipal Income Fund Inc,2002,,
AOI,"Alliance One International, Inc.",,Consumer Services,Farming/Seeds/Milling
AWF,Alliance World Dollar Government Fund II,1993,,
AB,AllianceBernstein Holding L.P.,,Finance,Investment Managers
LNT,Alliant Energy Corporation,,Public Utilities,Power Generation
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,2017,,
NCV,AllianzGI Convertible & Income Fund,2003,,
NCZ,AllianzGI Convertible & Income Fund II,2003,,
ACV,AllianzGI Diversified Income & Convertible Fund,2015,,
NIE,AllianzGI Equity & Convertible Income Fund,2007,,
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",2005,Finance,Finance: Consumer Services
ALSN,"Allison Transmission Holdings, Inc.",2012,Capital Goods,Auto Parts:O.E.M.
ALL,Allstate Corporation (The),,Finance,Property-Casualty Insurers
ALL^A,Allstate Corporation (The),,,
ALL^B,Allstate Corporation (The),,,
ALL^C,Allstate Corporation (The),,,
ALL^D,Allstate Corporation (The),,,
ALL^E,Allstate Corporation (The),,,
ALL^F,Allstate Corporation (The),,,
ALLY,Ally Financial Inc.,2014,Finance,Finance: Consumer Services
ALLY^A,Ally Financial Inc.,,,
AGD,Alpine Global Dynamic Dividend Fund,2006,,
AWP,Alpine Global Premier Properties Fund,2007,,
AOD,Alpine Total Dynamic Dividend Fund,2007,,
AYX,"Alteryx, Inc.",2017,Technology,Computer Software: Prepackaged Software
ATUS,"Altice USA, Inc.",2017,Consumer Services,Television Services
MO,Altria Group,,Consumer Non-Durables,Farming/Seeds/Milling
ACH,Aluminum Corporation of China Limited,2001,Basic Industries,Aluminum
AMBR,"Amber Road, Inc.",2014,Technology,Computer Software: Prepackaged Software
ABEV,Ambev S.A.,2013,Consumer Non-Durables,Beverages (Production/Distribution)
AMC,"AMC Entertainment Holdings, Inc.",2013,Consumer Services,Movies/Entertainment
AEE,Ameren Corporation,,Public Utilities,Power Generation
AMRC,"Ameresco, Inc.",2010,Basic Industries,Engineering & Construction
AMOV,"America Movil, S.A.B. de C.V.",,Public Utilities,Telecommunications Equipment
AMX,"America Movil, S.A.B. de C.V.",,Public Utilities,Telecommunications Equipment
AAT,"American Assets Trust, Inc.",2011,Consumer Services,Real Estate Investment Trusts
AXL,"American Axle & Manufacturing Holdings, Inc.",,Capital Goods,Auto Parts:O.E.M.
ACC,American Campus Communities Inc,2004,Consumer Services,Real Estate Investment Trusts
AEO,"American Eagle Outfitters, Inc.",,Consumer Services,Clothing/Shoe/Accessory Stores
